Team,Year,player_BPM_mean,player_BPM_max,player_BPM_std,player_BPM_count,player_ORtg_mean,player_ORtg_max,player_ORtg_min,player_PRPG!_mean,player_PRPG!_max,player_PRPG!_sum,player_Usg_mean,player_Usg_max,player_Usg_sum,player_eFG_mean,player_eFG_max,player_TS_mean,player_TS_max,player_Min%_sum,player_Min%_max,player_Ast_mean,player_Ast_max,player_TO_mean,player_Blk_mean,player_Blk_max,player_Stl_mean,player_Stl_max,player_Class Year_<lambda>
Santa Clara,2023,10.0,10.0,,1,120.5,120.5,120.5,5.4,5.4,5.4,25.5,25.5,25.5,57.6,57.6,60.8,60.8,86.2,86.2,20.8,20.8,14.0,1.3,1.3,2.8,2.8,0
Seton Hall,2019,9.5,9.5,,1,112.0,112.0,112.0,5.2,5.2,5.2,29.5,29.5,29.5,54.2,54.2,59.2,59.2,88.9,88.9,18.4,18.4,15.8,0.6,0.6,3.2,3.2,0
South Dakota St,2019,6.5,6.5,,1,120.8,120.8,120.8,5.6,5.6,5.6,32.3,32.3,32.3,57.4,57.4,62.3,62.3,83.7,83.7,11.0,11.0,11.4,3.6,3.6,1.2,1.2,1
Southern Illinois,2024,6.3,6.3,,1,112.2,112.2,112.2,5.5,5.5,5.5,34.1,34.1,34.1,48.7,48.7,57.3,57.3,91.3,91.3,39.4,39.4,16.7,0.7,0.7,2.5,2.5,1
St John's,2019,9.0,9.0,,1,116.8,116.8,116.8,5.3,5.3,5.3,27.6,27.6,27.6,52.2,52.2,57.7,57.7,84.3,84.3,29.0,29.0,11.3,0.9,0.9,4.1,4.1,0
St John's,2024,8.3,8.3,,1,128.5,128.5,128.5,4.8,4.8,4.8,21.6,21.6,21.6,58.9,58.9,62.0,62.0,70.5,70.5,9.3,9.3,11.4,6.6,6.6,0.4,0.4,1
Stanford,2021,8.9,8.9,,1,116.3,116.3,116.3,5.3,5.3,5.3,27.1,27.1,27.1,59.4,59.4,64.0,64.0,70.4,70.4,18.0,18.0,16.7,3.7,3.7,1.6,1.6,1
Syracuse,2020,6.7,6.7,,1,110.5,110.5,110.5,4.7,4.7,4.7,25.5,25.5,25.5,51.1,51.1,56.1,56.1,91.1,91.1,20.1,20.1,14.2,2.9,2.9,1.8,1.8,0
Syracuse,2021,4.2,4.2,,1,111.8,111.8,111.8,4.6,4.6,4.6,22.7,22.7,22.7,53.5,53.5,55.8,55.8,80.4,80.4,14.9,14.9,11.3,0.1,0.1,2.1,2.1,0
Syracuse,2022,3.9,3.9,,1,110.0,110.0,110.0,4.7,4.7,4.7,25.0,25.0,25.0,49.0,49.0,53.1,53.1,90.1,90.1,16.0,16.0,10.8,0.3,0.3,2.3,2.3,1
TCU,2020,8.9,8.9,,1,112.2,112.2,112.2,5.0,5.0,5.0,23.5,23.5,23.5,54.9,54.9,56.5,56.5,89.6,89.6,26.0,26.0,16.7,1.6,1.6,2.4,2.4,1
TCU,2024,6.4,6.4,,1,121.1,121.1,121.1,4.5,4.5,4.5,21.8,21.8,21.8,52.6,52.6,57.9,57.9,80.4,80.4,14.7,14.7,11.9,1.4,1.4,1.9,1.9,1
Tarleton St,2021,4.0,4.0,,1,121.8,121.8,121.8,4.6,4.6,4.6,20.6,20.6,20.6,61.0,61.0,64.9,64.9,89.8,89.8,15.9,15.9,10.9,0.0,0.0,1.5,1.5,0
Temple,2019,6.2,6.2,,1,111.0,111.0,111.0,4.7,4.7,4.7,27.2,27.2,27.2,50.2,50.2,55.8,55.8,90.6,90.6,28.4,28.4,14.5,0.5,0.5,2.3,2.3,1
